,a,b,c,d,e
0,VERSION,150,0,0,0
1,SECTION,1,0,1,0
2,SECTION,2,1,1,1
3,CLICK,2.396899,1.396899,0.21,0
4,CLICK,2.720229,1.720229,0.64,0
5,SECTION,3,2,1,0
6,CLICK,3.071165,2.071165,0.64,0
7,CLICK,3.073045,2.073045,0.2,0
8,CLICK,3.46868,2.46868,0.64,0
9,CLICK,3.476723,2.476723,0.2,0
10,CLICK,3.827752,2.827752,0.64,0
11,CLICK,3.832081,2.832081,0.2,0
12,SECTION,4,3,1,1
13,HOLD,4.282691,3.282691,0.27,0.5
14,HOLD,4.298004,3.298004,0.7,0.5
15,SECTION,5,4,1,0
16,HOLD,5.195497,4.195497,0.26,0.5
17,HOLD,5.197684,4.197684,0.7,0.5
18,SECTION,6,5,1,1
19,CLICK,6.394259,5.394259,0.26,0
20,CLICK,6.409572,5.409572,0.7,0
21,SECTION,7,6,1,0
22,HOLD,7.046433,6.046433,0.26,0.75
23,HOLD,7.046434,6.046434,0.69,0.75
24,SECTION,8,7,1,1
25,SECTION,9,8,1,0
26,HOLD,9.157999,8.157999,0.73,0.75
27,HOLD,9.157999,8.157999,0.24,0.75
28,SECTION,10,9,1,1
29,CLICK,10.468328,9.468328,0.21,0
30,CLICK,10.782999,9.782999,0.64,0
31,SECTION,11,10,1,0
32,CLICK,11.133934,10.133934,0.64,0
33,CLICK,11.135816,10.135816,0.2,0
34,CLICK,11.532999,10.532999,0.2,0
35,CLICK,11.533614,10.533614,0.64,0
36,CLICK,11.892687,10.892687,0.64,0
37,CLICK,11.892687,10.892687,0.2,0
38,SECTION,12,11,1,1
39,HOLD,12.28269,11.28269,0.27,0.5
40,HOLD,12.298004,11.298004,0.7,0.5
41,SECTION,13,12,1,0
42,HOLD,13.195496,12.195496,0.26,0.5
43,HOLD,13.197683,12.197683,0.7,0.5
44,SECTION,14,13,1,1
45,CLICK,14.394258,13.394258,0.26,0
46,CLICK,14.409571,13.409571,0.7,0
47,SECTION,15,14,1,0
48,HOLD,15.046433,14.046433,0.69,0.75
49,HOLD,15.046433,14.046433,0.26,0.75
50,SECTION,16,15,1,1
51,CLICK,16.283,15.283,0.29,0
52,CLICK,16.548003,15.548004,0.54,0
53,CLICK,16.800193,15.800193,0.75,0
54,SECTION,17,16,1,0
55,CLICK,17.383936,16.383936,0.33,0
56,CLICK,17.383937,16.383937,0.62,0
57,CLICK,17.616128,16.616128,0.62,0
58,CLICK,17.618316,16.618316,0.33,0
59,CLICK,17.852695,16.852695,0.62,0
60,CLICK,17.854882,16.854882,0.33,0
61,SECTION,18,17,1,1
62,HOLD,18.351731,17.351731,0.26,0.5
63,HOLD,18.353919,17.353919,0.75,0.5
64,SECTION,19,18,1,0
65,HOLD,19.194224,18.194224,0.26,0.625
66,HOLD,19.482987,18.482987,0.75,0.375
67,SECTION,20,19,1,1
68,CLICK,20.343252,19.343252,0.29,0
69,CLICK,20.581938,19.581938,0.5,0
70,CLICK,20.924886,19.924886,0.71,0
